,gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,TotalCharges,Churn,Geography,CreditScore,Surname,EstimatedSalary,MonthlyCharges,customerID,Dependents,PaymentMethod,Charge
73,Male,0.0,No,70.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,7711.25,No,France,582.0,Padovesi,84012.81,114.95,7176-WRTNX,No,Bank transfer (automatic),114.95
74,Male,0.0,No,40.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,4108.15,No,France,599.0,Enyinnaya,31448.52,102.65,3352-ALMCK,No,Mailed check,102.65
75,Female,0.0,Yes,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,1874.45,No,Germany,553.0,Sanderson,81898.81,66.15,6827-IEAUQ,Yes,Mailed check,66.15
76,Male,0.0,No,70.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,3442.8,No,France,536.0,Parkes,121299.14,48.4,0848-SOMKO,No,Bank transfer (automatic),48.4
77,Male,0.0,Yes,18.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,1742.95,Yes,France,494.0,Kibble,24489.44,99.4,7780-OTDSO,No,Electronic check,99.4
78,Female,0.0,No,60.0,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,3027.4,,France,561.0,Stanley,7797.01,50.8,5073-WXOYN,No,Electronic check,50.8
79,Female,0.0,Yes,69.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,1346.2,No,France,712.0,Johnstone,169386.81,19.4,5346-BZCHP,Yes,Mailed check,19.4
80,Male,0.0,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,49.3,No,Spain,850.0,Ritchie,,49.3,3716-UVSPD,No,Electronic check,49.3
81,Male,1.0,Yes,30.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,3181.8,No,Germany,733.0,Chibugo,93783.0,105.7,1421-HCERK,No,Bank transfer (automatic),105.7
82,Female,0.0,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,1419.4,No,Germany,568.0,Lin,64516.8,21.15,2569-WGERO,No,Bank transfer (automatic),21.15
83,Female,0.0,No,42.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,2348.45,No,Spain,730.0,Greco,186489.95,54.75,1708-PBBOA,No,Electronic check,54.75
84,Male,0.0,Yes,19.0,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,610.2,No,France,850.0,Ozioma,100750.03,34.95,3472-OAOOR,Yes,Mailed check,34.95
85,Female,0.0,No,20.0,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,1370.35,No,Germany,599.0,Okeke,176142.09,68.9,8263-OKETD,No,Credit card (automatic),68.9
86,Female,0.0,No,4.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,191.05,Yes,Spain,695.0,Loyau,56297.85,45.65,3859-CVCET,No,Mailed check,45.65
87,Male,0.0,Yes,48.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,5315.1,No,France,591.0,Fields,198926.36,111.45,7130-YXBRO,No,Bank transfer (automatic),111.45
88,Female,0.0,Yes,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,147.15,Yes,Spain,587.0,Morrison,97932.68,70.4,4629-NRXKX,Yes,Electronic check,70.4
89,Female,0.0,No,38.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,741.5,No,France,589.0,Trevisano,95985.64,20.05,2300-RQGOI,No,Mailed check,20.05
90,Female,0.0,No,4.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,324.2,No,France,686.0,Watson,144272.71,80.3,2674-MIAHT,No,Mailed check,80.3
91,Female,0.0,No,19.0,,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,710.05,No,France,815.0,Dolgorukova,178028.96,39.7,3665-JATSN,No,Electronic check,39.7
92,Male,0.0,Yes,67.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,4653.25,No,Spain,713.0,Nnaemeka,76038.38,69.35,6332-FBZRI,Yes,Credit card (automatic),69.35
93,Female,0.0,Yes,59.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,1222.65,No,Germany,850.0,Munro,35534.68,19.5,7328-ZJAJO,Yes,Credit card (automatic),19.5
94,Male,0.0,No,2.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,89.5,Yes,Spain,679.0,Shih,121210.09,45.35,0322-CHQRU,No,Electronic check,45.35
95,Female,0.0,Yes,69.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,6744.2,No,Germany,564.0,Ferreira,18260.98,95.65,8905-IAZPF,No,Credit card (automatic),95.65
96,Male,0.0,No,1.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,25.3,Yes,Germany,673.0,Gregory,151349.35,25.3,7242-QZLXF,Yes,Electronic check,25.3
97,Male,0.0,Yes,58.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,5430.35,No,France,610.0,Kung,166031.08,94.7,3571-DPYUH,Yes,Credit card (automatic),94.7
98,Female,1.0,No,19.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,2007.25,No,France,651.0,Clark,13898.31,105.0,3197-ARFOY,No,Mailed check,105.0
99,Female,0.0,No,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,1563.95,No,Spain,600.0,Palmer,143635.36,25.8,4335-BSMJS,No,Credit card (automatic),25.8
100,Male,0.0,No,40.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,4131.95,Yes,Spain,793.0,Belstead,88225.02,104.8,9412-GHEEC,No,Bank transfer (automatic),104.8
101,Male,0.0,Yes,17.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,1336.9,No,Germany,698.0,Ch'en,84760.32,80.5,5453-AXEPF,No,Bank transfer (automatic),80.5
102,Male,0.0,No,54.0,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,5826.65,,France,771.0,Lucchesi,130827.88,105.85,4525-VZCZG,Yes,Electronic check,105.85
103,Female,0.0,Yes,57.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,6252.7,No,Spain,617.0,Michelides,27239.28,109.4,0103-CSITQ,No,Bank transfer (automatic),109.4
104,Female,0.0,Yes,72.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,6096.45,No,France,588.0,Woronoff,100727.68,84.4,8661-BOYNW,No,Credit card (automatic),84.4
105,Female,0.0,Yes,70.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,5950.2,No,Spain,812.0,Krawczyk,91556.57,86.45,6695-AMZUF,No,Credit card (automatic),86.45
106,Male,0.0,No,30.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,2755.35,Yes,France,571.0,Mashman,55558.51,90.25,6032-KRXXO,No,Electronic check,90.25
107,Female,0.0,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,1138.8,No,Spain,538.0,Iadanza,58467.08,24.65,8292-ITGYJ,Yes,Bank transfer (automatic),24.65
108,Female,0.0,Yes,71.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,6223.8,No,France,659.0,Tien,161574.19,85.75,6885-PKOAM,No,Credit card (automatic),85.75
109,Male,0.0,No,1.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,60.1,Yes,Spain,743.0,Greece,33693.78,60.1,1582-RAFML,No,Mailed check,60.1
110,Female,0.0,Yes,44.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,2722.2,No,Spain,702.0,De Salis,,61.5,2348-KCJLT,No,Mailed check,61.5
111,Female,1.0,Yes,35.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,3452.55,No,Spain,706.0,Meany,18255.51,102.05,4238-JSSWH,No,Bank transfer (automatic),102.05
112,Male,0.0,No,52.0,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,3342.45,No,Spain,621.0,Zuyev,35588.07,63.25,4568-KNYWR,No,Credit card (automatic),63.25
113,Female,1.0,No,57.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,3094.05,No,France,627.0,Winifred,35300.08,55.0,7733-UDMTP,No,Electronic check,55.0
114,Male,1.0,No,13.0,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,788.35,No,Spain,544.0,Stevenson,135067.02,59.9,2931-FSOHN,No,Electronic check,59.9
115,Female,0.0,,41.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,835.15,No,Germany,524.0,Chidozie,199725.39,20.65,8402-OOOHJ,No,Mailed check,20.65
116,Female,0.0,No,26.0,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,786.5,No,France,699.0,Pinto,22684.78,29.8,4310-KEDTB,Yes,Mailed check,29.8
117,Male,0.0,Yes,33.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,690.25,No,Spain,801.0,Sutherland,10598.29,20.6,6563-VRERX,Yes,Mailed check,20.6
118,Male,1.0,Yes,8.0,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,551.95,No,Spain,642.0,Cox,39768.59,60.9,9489-UTFKA,No,Bank transfer (automatic),60.9
119,Male,0.0,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,33.7,No,France,645.0,Dubinina,12096.61,20.05,0188-GWFLE,No,Mailed check,20.05
120,Male,0.0,Yes,68.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,5696.6,No,Spain,512.0,Grave,56408.14,85.5,3301-VKTGC,Yes,Bank transfer (automatic),85.5
121,Female,0.0,Yes,70.0,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,4113.15,No,Spain,707.0,Duncan,118368.2,58.4,8821-KVZKQ,Yes,Bank transfer (automatic),58.4
122,Male,0.0,No,4.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,117.8,No,Spain,639.0,Krischock,33950.08,19.7,6260-XLACS,No,Mailed check,19.7
123,Female,0.0,No,9.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,186.15,No,Germany,727.0,Denisov,25881.0,20.25,6278-FEPBZ,No,Mailed check,20.25
124,Female,0.0,No,6.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,314.6,No,Spain,567.0,Liang,,49.45,0311-QYWSS,No,Electronic check,49.45
125,Male,0.0,Yes,72.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,4754.3,No,Spain,592.0,McGuigan,180426.2,65.1,9242-TKFSV,Yes,Credit card (automatic),65.1
